,smiles,solvent,logsol,SP,SdP,SA,SB
39434,NC(N)=NC(N)=NCCc1ccccc1,O,-6.839162487516526,0.681,0.997,1.062,0.025
41967,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.Cl,O,-9.846351361165318,0.681,0.997,1.062,0.025
14651,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CCCCO,-8.005298139692227,0.674,0.655,0.341,0.809
3156,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,CO,-5.458486118700858,0.608,0.904,0.605,0.545
49631,O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1,ClC(Cl)Cl,-4.1216952042449,0.783,0.614,0.047,0.071
30727,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,CC(C)O,-4.86174126341482,0.633,0.808,0.283,0.83
30981,CCn1c2ccccc2c2ccccc21,CC(C)O,-4.000854219134761,0.633,0.808,0.283,0.83
47518,COC(=O)[C@H](N)c1ccc(O)cc1,COC(C)=O,-6.263378262791621,0.645,0.637,0.0,0.527
41429,COc1cc([N+](=O)[O-])ccc1N,O,-10.96076597771126,0.681,0.997,1.062,0.025
33097,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,Cc1ccccc1,-6.988098031664675,0.782,0.284,0.0,0.128
33886,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,CC(C)CO,-8.444035670798511,0.657,0.684,0.311,0.828
34610,CC(=O)Nc1ccc(C(=O)O)cc1,CC(C)CO,-4.967863202252387,0.657,0.684,0.311,0.828
42391,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CCCOC(C)=O,-4.852350315130543,0.67,0.559,0.0,0.548
19504,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,CC(C)=O,-8.653585816321792,0.651,0.907,0.0,0.475
20094,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,CCOC(C)=O,-3.634012552673096,0.656,0.603,0.0,0.542
8550,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,CCO,-4.762643044812656,0.633,0.783,0.4,0.658
21686,O=C(O)/C=C/c1ccc(O)cc1,CCOC(C)=O,-4.240527072400182,0.656,0.603,0.0,0.542
27180,O=C(O)c1ccc(CO)cc1,CC(C)O,-3.1226569671276576,0.633,0.808,0.283,0.83
211,O=C(O)[C@@H]1C[C@@H](O)CN1,CO,-8.282121069236753,0.608,0.904,0.605,0.545
3148,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CO,-8.108400293215398,0.608,0.904,0.605,0.545
26401,c1ccc(-c2nnn[nH]2)cc1,CC#N,-5.630160334785588,0.645,0.974,0.044,0.286
16187,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CCCCO,-7.814095680003124,0.674,0.655,0.341,0.809
41445,N[C@H](Cc1c[nH]cn1)C(=O)O,O,-5.191438004920941,0.681,0.997,1.062,0.025
16721,Cl.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,CC(C)=O,-8.403864506109235,0.651,0.907,0.0,0.475
965,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CO,-3.095994695492385,0.608,0.904,0.605,0.545
40698,O=C(O)c1cccc(Cl)c1C(=O)O,O,-5.761210336558724,0.681,0.997,1.062,0.025
43661,COc1cc(N)nc(OC)n1,CN(C)C=O,-1.846426870570364,0.759,0.977,0.031,0.613
27568,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)O,-6.652338167117631,0.633,0.808,0.283,0.83
9515,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,CCO,-4.968869744863788,0.633,0.783,0.4,0.658
43547,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,CN(C)C=O,-8.660486361242713,0.759,0.977,0.031,0.613
7378,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,CCO,-4.145848405089216,0.633,0.783,0.4,0.658
31351,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CCCCCCCCO,-8.125151103640214,0.713,0.454,0.299,0.923
2048,C[N+](C)(C)C[C@H](O)CC(=O)[O-],CO,-2.062600157283877,0.608,0.904,0.605,0.545
20102,O=C(O)COc1ccc(Cl)cc1,CCOC(C)=O,-3.062085774104012,0.656,0.603,0.0,0.542
29420,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CC(C)O,-2.248096907709976,0.633,0.808,0.283,0.83
18008,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,CC(C)=O,-5.186937006566217,0.651,0.907,0.0,0.475
37371,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,CCC(C)O,-5.191977330776711,0.656,0.706,0.221,0.888
4834,Nc1cccc(C(=O)O)c1,CCO,-4.293283424839493,0.633,0.783,0.4,0.658
30325,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,CC(C)O,-6.425329129737844,0.633,0.808,0.283,0.83
35079,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],CCCCCO,-9.433483923290392,0.687,0.587,0.319,0.86
41858,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,O,-6.172027650887073,0.681,0.997,1.062,0.025
37717,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CCC(C)O,-7.799353398265921,0.656,0.706,0.221,0.888
10198,O=C(Nc1ccccc1)c1ccccc1O,CCCO,-3.6264794680132497,0.658,0.748,0.367,0.782
15853,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCCO,-7.338999840077789,0.674,0.655,0.341,0.809
20330,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CCOC(C)=O,-3.146555163288575,0.656,0.603,0.0,0.542
22886,N#CCc1ccc([N+](=O)[O-])cc1,CCOC(C)=O,-1.77313400510489,0.656,0.603,0.0,0.542
6141,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,CCO,-5.090003229479828,0.633,0.783,0.4,0.658
47577,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,COC(C)=O,-4.811948383216037,0.645,0.637,0.0,0.527
25008,CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CC#N,-4.177291483043027,0.645,0.974,0.044,0.286
2617,CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,CO,-7.516561311108331,0.608,0.904,0.605,0.545
18902,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CC(C)=O,-7.459402897268383,0.651,0.907,0.0,0.475
13594,CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCO,-3.7631720586957913,0.674,0.655,0.341,0.809
8898,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,CCO,-3.7017620799449498,0.633,0.783,0.4,0.658
47284,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,COC(C)=O,-8.124745780389377,0.645,0.637,0.0,0.527
16304,CCOC(=O)Cc1c(C(=O)OCC)sc(N)c1C#N,CCCCO,-4.699810590142213,0.674,0.655,0.341,0.809
4690,O=C(O)c1cccc(O)c1O,CCO,-2.3296480125437347,0.633,0.783,0.4,0.658
6472,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCO,-10.099502436462084,0.633,0.783,0.4,0.658
28701,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,CC(C)O,-6.891881929825847,0.633,0.808,0.283,0.83
28225,NC(=O)c1ccc(N)cc1,CC(C)O,-5.32527754813082,0.633,0.808,0.283,0.83
30234,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CC(C)O,-7.311222384427628,0.633,0.808,0.283,0.83
26920,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,CC#N,-10.719932949440569,0.645,0.974,0.044,0.286
27723,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],CC(C)O,-9.699730715022108,0.633,0.808,0.283,0.83
27083,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CC(C)O,-5.306147945663225,0.633,0.808,0.283,0.83
46660,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,ClC(Cl)(Cl)Cl,-5.665908822228119,0.768,0.0,0.0,0.044
37329,CCOC(=O)[C@@H](N)CCc1ccccc1.Cl,CCC(C)O,-4.772406105364005,0.656,0.706,0.221,0.888
359,O=C(O)c1cccc(C(=O)O)n1,CO,-4.439232108444661,0.608,0.904,0.605,0.545
8500,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2.[Cl-],CCO,-5.215263811412751,0.633,0.783,0.4,0.658
17569,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,CC(C)=O,-6.51166733268657,0.651,0.907,0.0,0.475
17034,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,CC(C)=O,-7.050010326563008,0.651,0.907,0.0,0.475
16883,Oc1ccc(OCc2ccccc2)cc1,CC(C)=O,-10.381523353479128,0.651,0.907,0.0,0.475
47044,CCOc1ccccc1C(N)=O,COC(C)=O,-4.256628225279548,0.645,0.637,0.0,0.527
