,eps,n,alpha,beta,gamma,phi**2,psi**2
39434,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
41967,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
14651,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
3156,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
49631,4.7113,1.4459,0.15,0.02,38.39,0.0,0.5625
30727,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
30981,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
47518,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
41429,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
33097,2.3741,1.4961,0.0,0.14,40.2,0.734449,0.0
33886,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
34610,16.777,1.3955,0.37,0.48,32.38,0.0,0.0
42391,5.5205,1.3842,0.0,0.45,34.26,0.0,0.0
19504,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
20094,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
8550,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
21686,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
27180,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
211,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
3148,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
26401,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
16187,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
41445,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
16721,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
965,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
40698,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
43661,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
27568,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
9515,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
43547,37.219,1.4305,0.0,0.74,49.56,0.0,0.0
7378,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
31351,9.8629,1.4295,0.37,0.48,39.01,0.0,0.0
2048,32.613,1.3288,0.43,0.47,31.77,0.0,0.0
20102,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
29420,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
18008,20.493,1.3588,0.04,0.49,33.77,0.0,0.0
37371,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
4834,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
30325,19.264,1.3776,0.33,0.56,30.13,0.0,0.0
35079,15.13,1.4101,0.37,0.48,36.5,0.0,0.0
41858,78.355,1.3328,0.82,0.35,103.62,0.0,0.0
37717,15.944,1.3978,0.33,0.56,32.44,0.0,0.0
10198,20.524,1.385,0.37,0.48,33.57,0.0,0.0
15853,17.332,1.3993,0.37,0.48,35.88,0.0,0.0
20330,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
22886,5.9867,1.3723,0.0,0.45,33.67,0.0,0.0
6141,24.852,1.3611,0.37,0.48,31.62,0.0,0.0
47577,6.8615,1.3614,0.0,0.45,35.59,0.0,0.0
25008,35.688,1.3442,0.07,0.32,41.25,0.0,0.0
