,smiles,solvent,logsol
39434,NC(N)=NC(N)=NCCc1ccccc1,O,-6.839162487516526
41967,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.Cl,O,-9.846351361165318
14651,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CCCCO,-8.005298139692227
3156,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,CO,-5.458486118700858
49631,O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1,ClC(Cl)Cl,-4.1216952042449
30727,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,CC(C)O,-4.86174126341482
50266,N#Cc1ccc2c(c1)OCO2,CC(=O)OC(C)C,-1.864975531559314
43999,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CN1CCCC1=O,-3.2759754169087736
30981,CCn1c2ccccc2c2ccccc21,CC(C)O,-4.000854219134761
47518,COC(=O)[C@H](N)c1ccc(O)cc1,COC(C)=O,-6.263378262791621
41429,COc1cc([N+](=O)[O-])ccc1N,O,-10.96076597771126
33097,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,Cc1ccccc1,-6.988098031664675
30385,Cc1ccc(N)c([N+](=O)[O-])c1,CC(C)O,-3.6985258311657416
38828,Nc1ccc([N+](=O)[O-])cc1N,C1COCCO1,-4.491841500681089
33886,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,CC(C)CO,-8.444035670798511
34610,CC(=O)Nc1ccc(C(=O)O)cc1,CC(C)CO,-4.967863202252387
42391,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CCCOC(C)=O,-4.8523503151305425
19504,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,CC(C)=O,-8.653585816321792
8728,O=[N+]([O-])c1cccc(Cl)c1Cl,CCO,-3.0683029663888264
20094,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,CCOC(C)=O,-3.6340125526730964
52180,O=C1NC(=O)C2C3C=CC(C3)C12,CCOCCO,-3.2598801276722678
8550,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,CCO,-4.7626430448126555
45630,O=[N+]([O-])c1cccc(Cl)c1Cl,C1CCCCC1,-2.9020597976913556
38485,O=C1Nc2ccccc2C1=O,C1COCCO1,-3.8247449973210856
11161,Cc1nc(C)c(C)nc1C,CCCO,-1.4078857873633668
32125,Nc1nnn[nH]1,Cc1ccccc1,-6.080514363941493
1839,O=C1OC(=O)c2cc(Cl)ccc21,CO,-1.7891628433807891
29120,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,CC(C)O,-2.0907047339585465
21686,O=C(O)/C=C/c1ccc(O)cc1,CCOC(C)=O,-4.240527072400182
27180,O=C(O)c1ccc(CO)cc1,CC(C)O,-3.1226569671276576
211,O=C(O)[C@@H]1C[C@@H](O)CN1,CO,-8.282121069236753
46309,CCCc1cc(=O)[nH]c(=S)[nH]1,CS(C)=O,-1.519597208434311
3148,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CO,-8.108400293215398
26401,c1ccc(-c2nnn[nH]2)cc1,CC#N,-5.630160334785588
16187,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CCCCO,-7.814095680003124
23163,Cc1cc(C)[nH]n1,CCOC(C)=O,-1.9400274858971578
41445,N[C@H](Cc1c[nH]cn1)C(=O)O,O,-5.191438004920941
47547,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,COC(C)=O,-4.387642373459517
16721,Cl.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,CC(C)=O,-8.403864506109235
965,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CO,-3.095994695492385
48576,O=Cc1ccc2ccccc2c1,CCCCCC,-3.9696521182647824
40698,O=C(O)c1cccc(Cl)c1C(=O)O,O,-5.761210336558724
13130,Cc1cccc([N+](=O)[O-])c1N,CCCO,-3.4897007802535587
43661,COc1cc(N)nc(OC)n1,CN(C)C=O,-1.8464268705703633
27568,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)O,-6.652338167117631
9515,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,CCO,-4.968869744863788
19861,O=C1NC(=O)C2C3C=CC(C3)C12,CC(C)=O,-3.6697829584229478
43547,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,CN(C)C=O,-8.660486361242713
7378,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,CCO,-4.145848405089216
31351,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CCCCCCCCO,-8.125151103640214
2048,C[N+](C)(C)C[C@H](O)CC(=O)[O-],CO,-2.062600157283877
20102,O=C(O)COc1ccc(Cl)cc1,CCOC(C)=O,-3.062085774104012
46611,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,ClC(Cl)(Cl)Cl,-0.23281517101094082
29420,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CC(C)O,-2.248096907709976
18008,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,CC(C)=O,-5.186937006566217
37371,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,CCC(C)O,-5.1919773307767105
4834,Nc1cccc(C(=O)O)c1,CCO,-4.293283424839493
17615,Nc1nc(Cl)cc(Cl)n1,CC(C)=O,-4.511679842900753
43941,O=C1NC(=O)C2C3C=CC(C3)C12,CN(C)C=O,-2.1517198041583168
30325,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,CC(C)O,-6.425329129737844
45822,O=Cc1cccc([N+](=O)[O-])c1,C1CCCCC1,-5.239859796976468
35079,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],CCCCCO,-9.433483923290392
