no.,formula,name,SP,SdP,SA,SB,smiles
2,H2O,water,0.681,0.997,1.062,0.025,O
3,CCl4,tetrachloromethane,0.768,0.0,0.0,0.044,ClC(Cl)(Cl)Cl
4,CS2,carbon disulfide,1.0,0.0,0.0,0.104,S=C=S
5,CHCl3,chloroform,0.783,0.614,0.047,0.071,ClC(Cl)Cl
6,CH2Cl2,dichloromethane,0.761,0.769,0.04,0.178,ClCCl
7,CH3NO,formamide,0.814,1.006,0.549,0.414,NC=O
8,CH3NO2,nitromethane,0.71,0.954,0.078,0.236,C[N+]([O-])=O
9,CH4O,methanol,0.608,0.904,0.605,0.545,CO
10,C2Cl3F3,"1,1,2-trichlorotrifluoroethane",0.596,0.152,0.0,0.038,FC(F)(Cl)C(F)(Cl)Cl
11,C2H2ClN,chloroacetonitrile,0.763,1.024,0.445,0.184,ClCC#N
12,C2H2Cl4,"1,1,2,2-tetrachloroethane",0.845,0.792,0.0,0.017,ClC(Cl)C(Cl)Cl
13,C2H3Cl3,"1,1,1-trichloroethane",0.737,0.5,0.0,0.085,CC(Cl)(Cl)Cl
14,C2H3F3O,"2,2,2-trifluoroethanol",0.543,0.922,0.893,0.107,OCC(F)(F)F
15,C2H3N,acetonitrile,0.645,0.974,0.044,0.286,CC#N
16,C2H4Cl2,"1,2-dichloroethane",0.771,0.742,0.03,0.126,ClCCCl
17,C2H4O2,acetic acid,0.651,0.676,0.689,0.39,CC(O)=O
18,C2H5NO2,nitroethane,0.706,0.902,0.0,0.234,CC[N+]([O-])=O
19,C2H6O,ethanol,0.633,0.783,0.4,0.658,CCO
20,C2H6OS,dimethyl sulfoxide,0.83,1.0,0.072,0.647,C[S](C)=O
21,C2H6O2,"1,2-ethanediol",0.777,0.91,0.717,0.534,OCCO
22,C3H5N,propanenitrile,0.668,0.888,0.03,0.365,CCC#N
23,C3H6O,acetone,0.651,0.907,0.0,0.475,CC(C)=O
24,C3H6O,allyl alcohol,0.705,0.839,0.415,0.585,OCC=C
25,C3H6O2,ethyl formate,0.648,0.707,0.0,0.477,CCOC=O
26,C3H6O2,methyl acetate,0.645,0.637,0.0,0.527,COC(C)=O
27,C3H6O2,propanoic acid,0.664,0.434,0.608,0.377,CCC(O)=O
28,C3H6O3,dimethyl carbonate,0.653,0.531,0.064,0.433,COC(=O)OC
29,C3H7NO,"N,N-dimethylformamide",0.759,0.977,0.031,0.613,CN(C)C=O
30,C3H8O,1-propanol,0.658,0.748,0.367,0.782,CCCO
31,C3H8O,2-propanol,0.633,0.808,0.283,0.83,CC(C)O
32,C3H8O2,"1,2-propanediol",0.731,0.888,0.475,0.598,CC(O)CO
33,C3H8O3,"1,2,3-propanetriol",0.828,0.921,0.653,0.309,OCC(O)CO
34,C3H9O4P,trimethyl phosphate,0.707,0.909,0.0,0.522,CO[P](=O)(OC)OC
35,C4H6N2,1-methylimidazole,0.834,0.959,0.069,0.658,Cn1ccnc1
36,C4H6O2,γ-butyrolactone,0.775,0.945,0.057,0.399,O=C1CCCO1
37,C4H6O3,propylene carbonate,0.746,0.942,0.106,0.341,CC1COC(=O)O1
38,C4H7N,butanenitrile,0.689,0.864,0.0,0.384,CCCC#N
39,C4H8O,2-butanone,0.669,0.872,0.0,0.52,CCC(C)=O
40,C4H8O,tetrahydrofuran,0.714,0.634,0.0,0.591,C1CCOC1
41,C4H8O2,butanoic acid,0.675,0.333,0.571,0.464,CCCC(O)=O
42,C4H8O2,"1,4-dioxane",0.737,0.312,0.0,0.444,C1COCCO1
43,C4H8O2,ethyl acetate,0.656,0.603,0.0,0.542,CCOC(C)=O
44,C4H8O2,propyl formate,0.667,0.633,0.0,0.549,CCCOC=O
45,C4H8O2,2-methylpropionic acid,0.659,0.302,0.515,0.281,CC(C)C(O)=O
46,C4H8O2S,sulfolane,0.83,0.896,0.052,0.365,O=[S]1(=O)CCCC1
47,C4H9Cl,1-chlorobutane,0.693,0.529,0.0,0.138,CCCCCl
48,C4H10N,butylamine,0.69,0.296,0.0,0.944,CCCCN
49,C4H10O,1-butanol,0.674,0.655,0.341,0.809,CCCCO
50,C4H10O,2-butanol,0.656,0.706,0.221,0.888,CCC(C)O
51,C4H10O,diethyl ether,0.617,0.385,0.0,0.562,CCOCC
52,C4H10O,2-methyl-1-propanol,0.657,0.684,0.311,0.828,CC(C)CO
53,C4H10O,2-methyl-2-propanol,0.632,0.732,0.145,0.928,CC(C)(C)O
54,C4H10O2,"1,2-butanediol",0.724,0.817,0.466,0.668,CCC(O)CO
55,C4H10O2,"1,3-butanediol",0.739,0.873,0.429,0.61,CC(O)CCO
56,C4H10O2,"1,4-butanediol",0.763,0.864,0.424,0.598,OCCCCO
57,C4H10O2,"2,3-butanediol",0.714,0.877,0.461,0.652,CC(O)C(C)O
58,C4H10O2,"1,2-dimethoxyethane",0.68,0.625,0.0,0.636,COCCOC
59,C5H5N,pyridine,0.842,0.761,0.033,0.581,c1ccncc1
60,C5H9N,pentanenitrile,0.696,0.853,0.0,0.408,CCCCC#N
61,C5H9NO,1-methyl-2-pyrrolidinone,0.812,0.959,0.024,0.613,CN1CCCC1=O
62,C5H10,cyclopentane,0.655,0.0,0.0,0.063,C1CCCC1
63,C5H10O,cyclopentanol,0.74,0.673,0.258,0.836,OC1CCCC1
64,C5H10O,2-methyltetrahydrofuran,0.7,0.768,0.0,0.584,CC1CCCO1
65,C5H10O,2-pentanone,0.689,0.783,0.01,0.537,CCCC(C)=O
66,C5H10O,3-pentanone,0.692,0.785,0.0,0.557,CCC(=O)CC
67,C5H10O2,2-methylbutyric acid,0.686,0.261,0.439,0.25,CCC(C)C(O)=O
68,C5H10O2,3-methylbutyric acid,0.67,0.31,0.538,0.405,CC(C)CC(O)=O
69,C5H10O2,pentanoic acid,0.687,0.276,0.502,0.473,CCCCC(O)=O
70,C5H10O2,propyl acetate,0.67,0.559,0.0,0.548,CCCOC(C)=O
71,C5H11N,1-methylpyrrolidine,0.712,0.216,0.0,0.918,CN1CCCC1
72,C5H11N,piperidine,0.754,0.365,0.0,0.933,C1CCNCC1
