,SP,SdP,SA,SB
39434,0.681,0.997,1.062,0.025
41967,0.681,0.997,1.062,0.025
14651,0.674,0.655,0.341,0.809
3156,0.608,0.904,0.605,0.545
49631,0.783,0.614,0.047,0.071
30727,0.633,0.808,0.283,0.83
30981,0.633,0.808,0.283,0.83
47518,0.645,0.637,0.0,0.527
41429,0.681,0.997,1.062,0.025
33097,0.782,0.284,0.0,0.128
33886,0.657,0.684,0.311,0.828
34610,0.657,0.684,0.311,0.828
42391,0.67,0.559,0.0,0.548
19504,0.651,0.907,0.0,0.475
20094,0.656,0.603,0.0,0.542
8550,0.633,0.783,0.4,0.658
21686,0.656,0.603,0.0,0.542
27180,0.633,0.808,0.283,0.83
211,0.608,0.904,0.605,0.545
3148,0.608,0.904,0.605,0.545
26401,0.645,0.974,0.044,0.286
16187,0.674,0.655,0.341,0.809
41445,0.681,0.997,1.062,0.025
16721,0.651,0.907,0.0,0.475
965,0.608,0.904,0.605,0.545
40698,0.681,0.997,1.062,0.025
43661,0.759,0.977,0.031,0.613
27568,0.633,0.808,0.283,0.83
9515,0.633,0.783,0.4,0.658
43547,0.759,0.977,0.031,0.613
7378,0.633,0.783,0.4,0.658
31351,0.713,0.454,0.299,0.923
2048,0.608,0.904,0.605,0.545
20102,0.656,0.603,0.0,0.542
29420,0.633,0.808,0.283,0.83
18008,0.651,0.907,0.0,0.475
37371,0.656,0.706,0.221,0.888
4834,0.633,0.783,0.4,0.658
30325,0.633,0.808,0.283,0.83
35079,0.687,0.587,0.319,0.86
41858,0.681,0.997,1.062,0.025
37717,0.656,0.706,0.221,0.888
10198,0.658,0.748,0.367,0.782
15853,0.674,0.655,0.341,0.809
20330,0.656,0.603,0.0,0.542
22886,0.656,0.603,0.0,0.542
6141,0.633,0.783,0.4,0.658
47577,0.645,0.637,0.0,0.527
25008,0.645,0.974,0.044,0.286
2617,0.608,0.904,0.605,0.545
18902,0.651,0.907,0.0,0.475
13594,0.674,0.655,0.341,0.809
8898,0.633,0.783,0.4,0.658
47284,0.645,0.637,0.0,0.527
16304,0.674,0.655,0.341,0.809
4690,0.633,0.783,0.4,0.658
6472,0.633,0.783,0.4,0.658
28701,0.633,0.808,0.283,0.83
28225,0.633,0.808,0.283,0.83
30234,0.633,0.808,0.283,0.83
26920,0.645,0.974,0.044,0.286
27723,0.633,0.808,0.283,0.83
27083,0.633,0.808,0.283,0.83
46660,0.768,0.0,0.0,0.044
37329,0.656,0.706,0.221,0.888
359,0.608,0.904,0.605,0.545
8500,0.633,0.783,0.4,0.658
17569,0.651,0.907,0.0,0.475
17034,0.651,0.907,0.0,0.475
16883,0.651,0.907,0.0,0.475
47044,0.645,0.637,0.0,0.527
33817,0.657,0.684,0.311,0.828
35895,0.714,0.634,0.0,0.591
10499,0.658,0.748,0.367,0.782
9650,0.633,0.783,0.4,0.658
46485,0.617,0.385,0.0,0.562
44902,0.777,0.91,0.717,0.534
1128,0.608,0.904,0.605,0.545
12434,0.658,0.748,0.367,0.782
1158,0.608,0.904,0.605,0.545
44785,0.777,0.91,0.717,0.534
45020,0.777,0.91,0.717,0.534
10310,0.658,0.748,0.367,0.782
40687,0.681,0.997,1.062,0.025
35281,0.687,0.587,0.319,0.86
35568,0.714,0.634,0.0,0.591
38079,0.737,0.312,0.0,0.444
10099,0.658,0.748,0.367,0.782
28170,0.633,0.808,0.283,0.83
6912,0.633,0.783,0.4,0.658
35431,0.687,0.587,0.319,0.86
19949,0.651,0.907,0.0,0.475
20082,0.656,0.603,0.0,0.542
1758,0.608,0.904,0.605,0.545
18081,0.651,0.907,0.0,0.475
3471,0.608,0.904,0.605,0.545
16440,0.674,0.655,0.341,0.809
52426,0.698,0.552,0.315,0.879
47016,0.645,0.637,0.0,0.527
1139,0.608,0.904,0.605,0.545
36668,0.669,0.872,0.0,0.52
1353,0.608,0.904,0.605,0.545
26033,0.645,0.974,0.044,0.286
36291,0.669,0.872,0.0,0.52
7211,0.633,0.783,0.4,0.658
45117,0.777,0.91,0.717,0.534
7696,0.633,0.783,0.4,0.658
38898,0.737,0.312,0.0,0.444
45464,0.683,0.0,0.0,0.073
36272,0.669,0.872,0.0,0.52
13684,0.674,0.655,0.341,0.809
38433,0.737,0.312,0.0,0.444
47027,0.645,0.637,0.0,0.527
20891,0.656,0.603,0.0,0.542
36408,0.669,0.872,0.0,0.52
15259,0.674,0.655,0.341,0.809
16888,0.651,0.907,0.0,0.475
1247,0.608,0.904,0.605,0.545
27208,0.633,0.808,0.283,0.83
16642,0.651,0.907,0.0,0.475
14317,0.674,0.655,0.341,0.809
48734,0.616,0.0,0.0,0.056
11220,0.658,0.748,0.367,0.782
16730,0.651,0.907,0.0,0.475
26615,0.645,0.974,0.044,0.286
26844,0.645,0.974,0.044,0.286
25300,0.645,0.974,0.044,0.286
36312,0.669,0.872,0.0,0.52
24280,0.645,0.974,0.044,0.286
24448,0.645,0.974,0.044,0.286
49460,0.783,0.614,0.047,0.071
21460,0.656,0.603,0.0,0.542
38129,0.737,0.312,0.0,0.444
23591,0.656,0.603,0.0,0.542
13646,0.674,0.655,0.341,0.809
39895,0.681,0.997,1.062,0.025
24623,0.645,0.974,0.044,0.286
13674,0.674,0.655,0.341,0.809
41918,0.681,0.997,1.062,0.025
47064,0.645,0.637,0.0,0.527
5255,0.633,0.783,0.4,0.658
36015,0.714,0.634,0.0,0.591
20664,0.656,0.603,0.0,0.542
23873,0.761,0.769,0.04,0.178
22556,0.656,0.603,0.0,0.542
49259,0.648,0.707,0.0,0.477
24727,0.645,0.974,0.044,0.286
722,0.608,0.904,0.605,0.545
9800,0.633,0.783,0.4,0.658
47586,0.645,0.637,0.0,0.527
31602,0.766,0.745,0.0,0.482
10595,0.658,0.748,0.367,0.782
38627,0.737,0.312,0.0,0.444
21671,0.656,0.603,0.0,0.542
16580,0.651,0.907,0.0,0.475
48639,0.616,0.0,0.0,0.056
47257,0.645,0.637,0.0,0.527
45098,0.777,0.91,0.717,0.534
24156,0.761,0.769,0.04,0.178
41233,0.681,0.997,1.062,0.025
10455,0.658,0.748,0.367,0.782
5011,0.633,0.783,0.4,0.658
33090,0.782,0.284,0.0,0.128
9406,0.633,0.783,0.4,0.658
23913,0.761,0.769,0.04,0.178
20500,0.656,0.603,0.0,0.542
14115,0.674,0.655,0.341,0.809
25339,0.645,0.974,0.044,0.286
33758,0.657,0.684,0.311,0.828
8403,0.633,0.783,0.4,0.658
8888,0.633,0.783,0.4,0.658
4475,0.633,0.783,0.4,0.658
52932,0.593,0.0,0.0,0.073
5193,0.633,0.783,0.4,0.658
27550,0.633,0.808,0.283,0.83
49798,0.783,0.614,0.047,0.071
49398,0.783,0.614,0.047,0.071
34209,0.657,0.684,0.311,0.828
19192,0.651,0.907,0.0,0.475
8289,0.633,0.783,0.4,0.658
22177,0.656,0.603,0.0,0.542
25407,0.645,0.974,0.044,0.286
10046,0.658,0.748,0.367,0.782
696,0.608,0.904,0.605,0.545
42171,0.681,0.997,1.062,0.025
16831,0.651,0.907,0.0,0.475
15928,0.674,0.655,0.341,0.809
12938,0.658,0.748,0.367,0.782
28946,0.633,0.808,0.283,0.83
1527,0.608,0.904,0.605,0.545
18164,0.651,0.907,0.0,0.475
26336,0.645,0.974,0.044,0.286
36557,0.669,0.872,0.0,0.52
8567,0.633,0.783,0.4,0.658
21269,0.656,0.603,0.0,0.542
47083,0.645,0.637,0.0,0.527
35616,0.714,0.634,0.0,0.591
23482,0.656,0.603,0.0,0.542
42990,0.759,0.977,0.031,0.613
6675,0.633,0.783,0.4,0.658
20133,0.656,0.603,0.0,0.542
44925,0.777,0.91,0.717,0.534
52408,0.698,0.552,0.315,0.879
39582,0.681,0.997,1.062,0.025
31172,0.713,0.454,0.299,0.923
31206,0.713,0.454,0.299,0.923
1408,0.608,0.904,0.605,0.545
11663,0.658,0.748,0.367,0.782
38293,0.737,0.312,0.0,0.444
38994,0.737,0.312,0.0,0.444
14486,0.674,0.655,0.341,0.809
5748,0.633,0.783,0.4,0.658
24413,0.645,0.974,0.044,0.286
20730,0.656,0.603,0.0,0.542
37259,0.656,0.706,0.221,0.888
31276,0.713,0.454,0.299,0.923
64,0.608,0.904,0.605,0.545
39187,0.681,0.997,1.062,0.025
5791,0.633,0.783,0.4,0.658
31343,0.713,0.454,0.299,0.923
11211,0.658,0.748,0.367,0.782
36371,0.669,0.872,0.0,0.52
32212,0.782,0.284,0.0,0.128
48045,0.632,0.732,0.145,0.928
4349,0.608,0.904,0.605,0.545
16068,0.674,0.655,0.341,0.809
25854,0.645,0.974,0.044,0.286
38981,0.737,0.312,0.0,0.444
9962,0.633,0.783,0.4,0.658
31334,0.713,0.454,0.299,0.923
12705,0.658,0.748,0.367,0.782
23521,0.656,0.603,0.0,0.542
37363,0.656,0.706,0.221,0.888
5943,0.633,0.783,0.4,0.658
13819,0.674,0.655,0.341,0.809
48009,0.674,0.535,0.0,0.525
43485,0.759,0.977,0.031,0.613
1256,0.608,0.904,0.605,0.545
47109,0.645,0.637,0.0,0.527
44657,0.777,0.91,0.717,0.534
47132,0.645,0.637,0.0,0.527
36093,0.714,0.634,0.0,0.591
5440,0.633,0.783,0.4,0.658
3047,0.608,0.904,0.605,0.545
23037,0.656,0.603,0.0,0.542
47095,0.645,0.637,0.0,0.527
27754,0.633,0.808,0.283,0.83
851,0.608,0.904,0.605,0.545
44677,0.777,0.91,0.717,0.534
52938,0.593,0.0,0.0,0.073
31950,0.782,0.284,0.0,0.128
13747,0.674,0.655,0.341,0.809
10331,0.658,0.748,0.367,0.782
35252,0.687,0.587,0.319,0.86
32268,0.782,0.284,0.0,0.128
38612,0.737,0.312,0.0,0.444
38706,0.737,0.312,0.0,0.444
9531,0.633,0.783,0.4,0.658
24289,0.645,0.974,0.044,0.286
21620,0.656,0.603,0.0,0.542
37899,0.737,0.312,0.0,0.444
45840,0.683,0.0,0.0,0.073
7844,0.633,0.783,0.4,0.658
8774,0.633,0.783,0.4,0.658
10036,0.658,0.748,0.367,0.782
23600,0.656,0.603,0.0,0.542
27674,0.633,0.808,0.283,0.83
43929,0.759,0.977,0.031,0.613
28450,0.633,0.808,0.283,0.83
34319,0.657,0.684,0.311,0.828
37912,0.737,0.312,0.0,0.444
24324,0.645,0.974,0.044,0.286
