,ET(30) (kcal mol-1),ETN
39434,63.1,1.0
41967,63.1,1.0
14651,49.7,0.586
3156,55.4,0.762
49631,39.1,0.259
30727,48.4,0.546
30981,48.4,0.546
47518,38.9,0.253
41429,63.1,1.0
33097,33.9,0.099
33886,48.6,0.552
34610,48.6,0.552
42391,37.5,0.21
19504,42.2,0.355
20094,38.1,0.228
8550,51.9,0.654
21686,38.1,0.228
27180,48.4,0.546
211,55.4,0.762
3148,55.4,0.762
26401,45.6,0.46
16187,49.7,0.586
41445,63.1,1.0
16721,42.2,0.355
965,55.4,0.762
40698,63.1,1.0
43661,43.2,0.386
27568,48.4,0.546
9515,51.9,0.654
43547,43.2,0.386
7378,51.9,0.654
31351,48.1,0.537
2048,55.4,0.762
20102,38.1,0.228
29420,48.4,0.546
18008,42.2,0.355
37371,47.1,0.506
4834,51.9,0.654
30325,48.4,0.546
35079,49.1,0.586
41858,63.1,1.0
37717,47.1,0.506
10198,50.7,0.617
15853,49.7,0.586
20330,38.1,0.228
22886,38.1,0.228
6141,51.9,0.654
47577,38.9,0.253
25008,45.6,0.46
2617,55.4,0.762
18902,42.2,0.355
13594,49.7,0.586
8898,51.9,0.654
47284,38.9,0.253
16304,49.7,0.586
4690,51.9,0.654
6472,51.9,0.654
28701,48.4,0.546
28225,48.4,0.546
30234,48.4,0.546
26920,45.6,0.46
27723,48.4,0.546
27083,48.4,0.546
46660,32.4,0.052
37329,47.1,0.506
359,55.4,0.762
8500,51.9,0.654
17569,42.2,0.355
17034,42.2,0.355
16883,42.2,0.355
47044,38.9,0.253
33817,48.6,0.552
35895,37.4,0.207
10499,50.7,0.617
9650,51.9,0.654
46485,34.5,0.117
44902,56.3,0.79
1128,55.4,0.762
12434,50.7,0.617
1158,55.4,0.762
44785,56.3,0.79
45020,56.3,0.79
10310,50.7,0.617
40687,63.1,1.0
35281,49.1,0.586
35568,37.4,0.207
38079,36.0,0.164
10099,50.7,0.617
28170,48.4,0.546
6912,51.9,0.654
35431,49.1,0.586
19949,42.2,0.355
20082,38.1,0.228
1758,55.4,0.762
18081,42.2,0.355
3471,55.4,0.762
16440,49.7,0.586
52426,48.8,0.559
47016,38.9,0.253
1139,55.4,0.762
36668,41.3,0.327
1353,55.4,0.762
26033,45.6,0.46
36291,41.3,0.327
7211,51.9,0.654
45117,56.3,0.79
7696,51.9,0.654
38898,36.0,0.164
45464,30.9,0.006
36272,41.3,0.327
13684,49.7,0.586
38433,36.0,0.164
47027,38.9,0.253
20891,38.1,0.228
36408,41.3,0.327
15259,49.7,0.586
16888,42.2,0.355
1247,55.4,0.762
27208,48.4,0.546
16642,42.2,0.355
14317,49.7,0.586
48734,31.0,0.009
11220,50.7,0.617
16730,42.2,0.355
26615,45.6,0.46
26844,45.6,0.46
25300,45.6,0.46
36312,41.3,0.327
24280,45.6,0.46
24448,45.6,0.46
49460,39.1,0.259
21460,38.1,0.228
38129,36.0,0.164
23591,38.1,0.228
13646,49.7,0.586
39895,63.1,1.0
24623,45.6,0.46
13674,49.7,0.586
41918,63.1,1.0
47064,38.9,0.253
5255,51.9,0.654
36015,37.4,0.207
20664,38.1,0.228
23873,40.7,0.309
22556,38.1,0.228
49259,40.9,0.315
24727,45.6,0.46
722,55.4,0.762
9800,51.9,0.654
47586,38.9,0.253
31602,39.8,0.281
10595,50.7,0.617
38627,36.0,0.164
21671,38.1,0.228
16580,42.2,0.355
48639,31.0,0.009
47257,38.9,0.253
45098,56.3,0.79
24156,40.7,0.309
41233,63.1,1.0
10455,50.7,0.617
5011,51.9,0.654
33090,33.9,0.099
9406,51.9,0.654
23913,40.7,0.309
20500,38.1,0.228
14115,49.7,0.586
25339,45.6,0.46
33758,48.6,0.552
8403,51.9,0.654
8888,51.9,0.654
4475,51.9,0.654
52932,31.0,0.009
5193,51.9,0.654
27550,48.4,0.546
49798,39.1,0.259
49398,39.1,0.259
34209,48.6,0.552
19192,42.2,0.355
8289,51.9,0.654
22177,38.1,0.228
25407,45.6,0.46
10046,50.7,0.617
696,55.4,0.762
42171,63.1,1.0
16831,42.2,0.355
15928,49.7,0.586
12938,50.7,0.617
28946,48.4,0.546
1527,55.4,0.762
18164,42.2,0.355
26336,45.6,0.46
36557,41.3,0.327
8567,51.9,0.654
21269,38.1,0.228
47083,38.9,0.253
35616,37.4,0.207
23482,38.1,0.228
42990,43.2,0.386
6675,51.9,0.654
20133,38.1,0.228
44925,56.3,0.79
52408,48.8,0.559
39582,63.1,1.0
31172,48.1,0.537
31206,48.1,0.537
1408,55.4,0.762
11663,50.7,0.617
38293,36.0,0.164
38994,36.0,0.164
14486,49.7,0.586
5748,51.9,0.654
24413,45.6,0.46
20730,38.1,0.228
37259,47.1,0.506
31276,48.1,0.537
64,55.4,0.762
39187,63.1,1.0
5791,51.9,0.654
31343,48.1,0.537
11211,50.7,0.617
36371,41.3,0.327
32212,33.9,0.099
48045,43.3,0.389
4349,55.4,0.762
16068,49.7,0.586
25854,45.6,0.46
38981,36.0,0.164
9962,51.9,0.654
31334,48.1,0.537
12705,50.7,0.617
23521,38.1,0.228
37363,47.1,0.506
5943,51.9,0.654
13819,49.7,0.586
48009,38.5,0.241
43485,43.2,0.386
1256,55.4,0.762
47109,38.9,0.253
44657,56.3,0.79
47132,38.9,0.253
36093,37.4,0.207
5440,51.9,0.654
3047,55.4,0.762
23037,38.1,0.228
47095,38.9,0.253
27754,48.4,0.546
851,55.4,0.762
44677,56.3,0.79
52938,31.0,0.009
31950,33.9,0.099
13747,49.7,0.586
10331,50.7,0.617
35252,49.1,0.586
32268,33.9,0.099
38612,36.0,0.164
38706,36.0,0.164
9531,51.9,0.654
24289,45.6,0.46
21620,38.1,0.228
37899,36.0,0.164
45840,30.9,0.006
7844,51.9,0.654
8774,51.9,0.654
10036,50.7,0.617
23600,38.1,0.228
27674,48.4,0.546
43929,43.2,0.386
28450,48.4,0.546
34319,48.6,0.552
37912,36.0,0.164
24324,45.6,0.46
30809,48.4,0.546
20393,38.1,0.228
42096,63.1,1.0
38364,36.0,0.164
41381,63.1,1.0
5148,51.9,0.654
45167,30.9,0.006
14182,49.7,0.586
42234,37.5,0.21
12463,50.7,0.617
45244,30.9,0.006
13776,49.7,0.586
26806,45.6,0.46
22585,38.1,0.228
27375,48.4,0.546
49624,39.1,0.259
8212,51.9,0.654
27911,48.4,0.546
19829,42.2,0.355
40709,63.1,1.0
34080,48.6,0.552
30669,48.4,0.546
31796,39.8,0.281
148,55.4,0.762
16735,42.2,0.355
11091,50.7,0.617
42254,37.5,0.21
31923,33.9,0.099
20112,38.1,0.228
713,55.4,0.762
13882,49.7,0.586
21489,38.1,0.228
23067,38.1,0.228
16779,42.2,0.355
9356,51.9,0.654
40180,63.1,1.0
43832,43.2,0.386
47189,38.9,0.253
14464,49.7,0.586
14398,49.7,0.586
16252,49.7,0.586
23343,38.1,0.228
34140,48.6,0.552
45325,30.9,0.006
2979,55.4,0.762
29882,48.4,0.546
40051,63.1,1.0
11546,50.7,0.617
31325,48.1,0.537
425,55.4,0.762
1490,55.4,0.762
26480,45.6,0.46
49188,40.9,0.315
11006,50.7,0.617
21299,38.1,0.228
24352,45.6,0.46
20588,38.1,0.228
3096,55.4,0.762
38057,36.0,0.164
14330,49.7,0.586
49526,39.1,0.259
24431,45.6,0.46
31162,48.1,0.537
42939,43.2,0.386
29832,48.4,0.546
25388,45.6,0.46
31140,48.1,0.537
27073,48.4,0.546
47679,38.5,0.241
50038,48.5,0.549
42850,43.2,0.386
4548,51.9,0.654
45831,30.9,0.006
985,55.4,0.762
42199,37.5,0.21
6102,51.9,0.654
21541,38.1,0.228
11148,50.7,0.617
37767,36.0,0.164
39223,63.1,1.0
35651,37.4,0.207
33553,33.9,0.099
20120,38.1,0.228
6380,51.9,0.654
28629,48.4,0.546
24045,40.7,0.309
17276,42.2,0.355
50008,39.1,0.259
3876,55.4,0.762
42485,43.2,0.386
