,SMILES,"T,K",Solubility,Solvent,SMILES_Solvent,Source
15,COC(=O)[C@@H](N)CS.Cl,303.15,0.1268,methanol,CO,10.1021/acs.jced.0c00795
26,CC1(C)NC(=O)NC1=O,303.15,0.09932,methanol,CO,10.1021/acs.jced.9b01020
37,NS(=O)(=O)Cc1noc2ccccc12,303.15,0.004211,methanol,CO,10.1021/acs.jced.0c00249
46,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,303.15,0.000261,methanol,CO,10.1021/acs.jced.0c00254
54,O=Cc1cc(Br)c(O)c(Br)c1,303.15,0.003954,methanol,CO,10.1021/acs.jced.0c00376
64,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,303.15,0.000403,methanol,CO,10.1021/acs.jced.0c00301
74,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,303.15,0.01692,methanol,CO,10.1021/acs.jced.0c00127
83,O=C(Nc1ccccc1)c1ccccc1,303.15,0.005787,methanol,CO,10.1021/acs.jced.0c00167
91,Nc1ccc(S(N)(=O)=O)cc1,303.15,0.028565,methanol,CO,10.1021/acs.jced.9b00411
118,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,303.15,0.0018,methanol,CO,10.1021/acs.jced.0c00558
130,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,303.15,0.002574,methanol,CO,10.1021/acs.jced.0c00616
140,Cc1cc(Cl)cc(C(=O)O)c1N,303.15,0.003747,methanol,CO,10.1021/acs.jced.1c00047
148,Cc1c(N)cccc1C(=O)O,303.15,0.008436,methanol,CO,10.1021/acs.jced.1c00109
156,N=C(N)NCCC[C@H](N)C(=O)O.O=C1CC[C@@H](C(=O)O)N1,303.15,0.000911,methanol,CO,10.1021/acs.jced.0c01074
161,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,303.15,0.00029,methanol,CO,10.1021/acs.jced.1c00163
169,CC(=O)Nc1ccccc1[N+](=O)[O-],303.15,0.03939,methanol,CO,10.1021/acs.jced.1c00037
176,CSCCC(NC(C)=O)C(=O)O,303.15,0.14101,methanol,CO,10.1021/acs.jced.1c00064
183,O=C(O)c1ccc(CO)cc1,303.15,0.04725,methanol,CO,10.1021/acs.jced.1c00035
192,Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,303.15,0.00604,methanol,CO,10.1021/acs.jced.1c00062
211,O=C(O)[C@@H]1C[C@@H](O)CN1,303.15,0.000253,methanol,CO,10.1021/acs.jced.0c00794
222,O=Cc1cc(C=O)cc(C=O)c1,303.15,0.008576,methanol,CO,10.1021/acs.jced.0c00776
230,OCC(O)COc1ccc(Cl)cc1,303.15,0.1476,methanol,CO,10.1021/acs.jced.0c00900
242,COc1cc2nc(Cl)nc(N)c2cc1OC,303.15,0.0003776,methanol,CO,10.1021/acs.jced.0c00506
247,O=C(O)[C@@H]1CSCN1,303.15,0.000112,methanol,CO,10.1021/acs.jced.0c00996
264,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,303.15,0.00023024,methanol,CO,10.1021/acs.jced.0c00803
272,c1ccc2[nH]c(-c3cscn3)nc2c1,303.15,0.002109,methanol,CO,10.1021/acs.jced.0c00724
281,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,303.15,0.02597,methanol,CO,10.1021/acs.jced.0c00655
292,c1cnc2[nH]ccc2c1,303.15,0.2927,methanol,CO,10.1021/acs.jced.0c00128
