,smiles,solvent,logsol
39434,NC(N)=NC(N)=NCCc1ccccc1,O,-6.839162487516526
41967,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1.Cl,O,-9.846351361165318
14651,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CCCCO,-8.005298139692227
3156,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,CO,-5.458486118700858
49631,O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1,ClC(Cl)Cl,-4.1216952042449
30727,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,CC(C)O,-4.86174126341482
30981,CCn1c2ccccc2c2ccccc21,CC(C)O,-4.000854219134761
47518,COC(=O)[C@H](N)c1ccc(O)cc1,COC(C)=O,-6.263378262791621
41429,COc1cc([N+](=O)[O-])ccc1N,O,-10.96076597771126
33097,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,Cc1ccccc1,-6.988098031664675
33886,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,CC(C)CO,-8.444035670798511
34610,CC(=O)Nc1ccc(C(=O)O)cc1,CC(C)CO,-4.967863202252387
42391,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CCCOC(C)=O,-4.852350315130543
19504,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,CC(C)=O,-8.653585816321792
20094,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,CCOC(C)=O,-3.634012552673096
8550,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,CCO,-4.762643044812656
21686,O=C(O)/C=C/c1ccc(O)cc1,CCOC(C)=O,-4.240527072400182
27180,O=C(O)c1ccc(CO)cc1,CC(C)O,-3.1226569671276576
211,O=C(O)[C@@H]1C[C@@H](O)CN1,CO,-8.282121069236753
3148,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CO,-8.108400293215398
26401,c1ccc(-c2nnn[nH]2)cc1,CC#N,-5.630160334785588
16187,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CCCCO,-7.814095680003124
41445,N[C@H](Cc1c[nH]cn1)C(=O)O,O,-5.191438004920941
16721,Cl.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,CC(C)=O,-8.403864506109235
965,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CO,-3.095994695492385
40698,O=C(O)c1cccc(Cl)c1C(=O)O,O,-5.761210336558724
43661,COc1cc(N)nc(OC)n1,CN(C)C=O,-1.846426870570364
27568,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)O,-6.652338167117631
9515,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1,CCO,-4.968869744863788
43547,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,CN(C)C=O,-8.660486361242713
7378,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,CCO,-4.145848405089216
31351,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CCCCCCCCO,-8.125151103640214
2048,C[N+](C)(C)C[C@H](O)CC(=O)[O-],CO,-2.062600157283877
20102,O=C(O)COc1ccc(Cl)cc1,CCOC(C)=O,-3.062085774104012
29420,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,CC(C)O,-2.248096907709976
18008,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,CC(C)=O,-5.186937006566217
37371,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,CCC(C)O,-5.191977330776711
4834,Nc1cccc(C(=O)O)c1,CCO,-4.293283424839493
30325,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,CC(C)O,-6.425329129737844
35079,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],CCCCCO,-9.433483923290392
41858,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,O,-6.172027650887073
37717,COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CCC(C)O,-7.799353398265921
10198,O=C(Nc1ccccc1)c1ccccc1O,CCCO,-3.6264794680132497
15853,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCCO,-7.338999840077789
20330,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,CCOC(C)=O,-3.146555163288575
22886,N#CCc1ccc([N+](=O)[O-])cc1,CCOC(C)=O,-1.77313400510489
6141,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,CCO,-5.090003229479828
47577,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,COC(C)=O,-4.811948383216037
25008,CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CC#N,-4.177291483043027
2617,CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)(COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)COC(=O)CCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,CO,-7.516561311108331
18902,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CC(C)=O,-7.459402897268383
13594,CC(=O)Nc1ccccc1[N+](=O)[O-],CCCCO,-3.7631720586957913
