Solvent,eps,n,alpha,beta,gamma,phi**2,psi**2,smiles
"1,1,1-trichloroethane",7.0826,1.4379,0.0,0.09,36.24,0.0,0.36,CC(Cl)(Cl)Cl
"1,1,2-trichloroethane",7.1937,1.4714,0.13,0.13,48.97,0.0,0.36,ClCC(Cl)Cl
"1,2,4-trimethylbenzene",2.3653,1.5048,0.0,0.19,42.03,0.44488900000000003,0.0,Cc1ccc(C)c(C)c1
"1,2-dibromoethane",4.9313,1.5387,0.1,0.17,56.93,0.0,0.25,BrCCBr
"1,2-dichloroethane",10.125,1.4448,0.1,0.11,45.86,0.0,0.25,ClCCCl
"1,2-ethanediol",40.245,1.4318,0.58,0.78,69.07,0.0,0.0,OCCO
"1,4-dioxane",2.2099,1.4224,0.0,0.64,47.14,0.0,0.0,C1COCCO1
1-bromo-2-methylpropane,7.7792,1.4348,0.0,0.12,34.69,0.0,0.04000000000000001,CC(C)CBr
1-bromooctane,5.0244,1.4524,0.0,0.12,41.28,0.0,0.012321,CCCCCCCCBr
1-bromopentane,6.269,1.4447,0.0,0.12,38.7,0.0,0.027888999999999994,CCCCCBr
1-bromopropane,8.0496,1.4343,0.0,0.12,36.36,0.0,0.0625,CCCBr
1-butanol,17.332,1.3993,0.37,0.48,35.88,0.0,0.0,CCCCO
1-chlorohexane,5.9491,1.4199,0.0,0.1,37.03,0.0,0.020449000000000005,CCCCCCCl
1-chloropentane,6.5022,1.4127,0.0,0.1,35.12,0.0,0.027888999999999994,CCCCCCl
1-chloropropane,8.3548,1.3879,0.0,0.1,30.66,0.0,0.0625,CCCCl
1-decanol,7.5305,1.4372,0.37,0.48,41.04,0.0,0.0,CCCCCCCCCCO
1-fluorooctane,3.89,1.3935,0.0,0.1,33.92,0.0,0.012321,CCCCCCCCF
1-heptanol,11.321,1.4249,0.37,0.48,38.5,0.0,0.0,CCCCCCCO
1-hexanol,12.51,1.4178,0.37,0.48,37.15,0.0,0.0,CCCCCCO
1-hexene,2.0717,1.3837,0.0,0.07,25.76,0.0,0.0,C=CCCCC
1-hexyne,2.615,1.3989,0.12,0.1,28.79,0.0,0.0,C#CCCCC
1-iodobutane,6.172999999999999,1.5001,0.0,0.15,40.65,0.0,0.0,CCCCI
1-iodohexadecane,3.5338,1.4806,0.0,0.15,46.48,0.0,0.0,CCCCCCCCCCCCCCCCI
1-iodopentane,5.6973,1.4959,0.0,0.15,41.56,0.0,0.0,CCCCCI
